"","StudentID","thesis_grades"
"780",17033078,0
"781",17033321,8
"782",17033750,9
"783",17036090,6
"784",17036180,8.5
"785",17036309,7.5
"786",17036333,7.5
"787",17036423,7.5
"788",17036552,0
"789",17036624,8
"790",17038181,0
"791",17047565,8.5
"792",17047790,7.5
"793",17047880,8
"794",17047985,9
"795",17056562,8
"796",17060165,7
"797",17060318,0
"798",17060366,7
"799",17060456,8.5
"800",17060480,7
"801",17060561,8
"802",17060585,7.5
"803",17060609,7
"804",17060876,8
"805",17060924,7.5
"806",17061050,8
"807",17070230,7
"808",17071184,7
"809",17071598,7.5
"810",17072819,7.5
"811",17077040,8
"812",17077235,7.5
"813",17080223,9
"814",17080643,8
"815",17082362,8
"816",17084489,7.5
"817",17084513,6
"818",17084618,8.5
"819",17084642,8
"820",17084861,7.5
"821",17084933,7
"822",17085851,0
"823",17086814,8.5
"824",17087048,8.5
"825",17087654,7.5
"826",17095916,0
"827",17096021,8.5
"828",17097278,7.5
"829",17097302,7
"830",17097368,6.5
"831",17097440,7
"832",17097464,8.5
"833",17099414,6.5
"834",17099471,7
"835",17101292,6.5
"836",17102666,0
"837",17105825,6
"838",17105849,7.5
"839",17112323,7
"840",17117648,7
"841",17118623,8
"842",17147876,7.5
"843",17170202,8
"844",17171351,7.5
"845",17188148,7.5
"846",17189321,0
"847",17189393,9
"848",17189612,8.5
"849",17189750,0
"850",17189879,0
"851",17190035,0
"852",17190083,0
"853",17191037,8.5
"854",17192744,7
"855",17201384,7
"856",17202593,7
"857",17230877,8.5
"858",17233016,8
"859",17233145,0
"860",17233169,0
"861",17234456,0
"862",17239421,7
"863",17241374,0
"864",17245397,7
"865",17248241,0
"866",17248265,0
"867",17248313,0
"868",17263478,0
"869",17263592,0
"870",17264150,7.5
"871",17267348,8.5
"872",17302526,0
"873",17314799,7
"874",17316098,0
"875",17316704,7.5
"876",17317124,7.5
"877",17330801,8
"878",17339474,0
"879",17345690,0
"880",17348363,8
"881",17348711,8
"882",17350373,0
"883",17350502,0
"884",17353847,7.5
"885",17365508,7
"886",17365694,8
"887",17379218,8
"888",17381750,7.5
"889",17381855,0
"890",17385656,8.5
"891",17387054,7.5
"892",17393525,0
"893",17394911,0
"894",17396885,9
"895",17397260,0
"896",17397326,7.5
"897",17397374,8.5
"898",17397455,7
"899",17397770,7
"900",17398919,7
"901",17401775,8.5
"902",17405225,0
"903",17407808,0
"904",17409551,7
"905",17409575,7
"906",17409599,7
"907",17409641,8.5
"908",17409689,8.5
"909",17409713,7
"910",17409737,7
"911",17409818,7
"912",17409842,7.5
"913",17409932,7.5
"914",17410004,8.5
"915",17410061,8.5
"916",17410133,8
"917",17410223,8
"918",17410247,7
"919",17410352,7.5
"920",17410424,9
"921",17410481,9
"922",17410505,8.5
"923",17410514,9
"924",17410643,7
"925",17410772,0
"926",17410796,16.5
"927",17410862,7.5
"928",17410934,9
"929",17410991,7.5
"930",17411039,7.5
"931",17411087,6
"932",17411129,7.5
"933",17411153,0
"934",17411282,7.5
"935",17411306,7.5
"936",17411501,7.5
"937",17411525,8
"938",17411549,0
"939",17411768,6.5
"940",17411840,7
"941",17411945,8
"942",17412071,6.5
"943",17412143,8.5
"944",17412167,8.5
"945",17412248,9
"946",17412272,7.5
"947",17412515,8
"948",17412539,0
"949",17412629,0
"950",17412653,7
"951",17412758,7
"952",17412806,7.5
"953",17412830,8.5
"954",17412911,8
"955",17412920,7.5
"956",17413073,7.5
"957",17413097,7.5
"958",17413178,6.5
"959",17413202,0
"960",17413268,8
"961",17413292,7
"962",17413316,7.5
"963",17413340,0
"964",17413364,8
"965",17413445,7.5
"966",17413469,8.5
"967",17413493,6
"968",17413535,9.5
"969",17413559,6
"970",17413583,8
"971",17413607,7.5
"972",17413712,7
"973",17413736,7
"974",17413760,7.5
"975",17413784,8
"976",17413850,8
"977",17413955,0
"978",17413979,0
"979",17414027,7.5
"980",17414117,8.5
"981",17414198,6
"982",17414222,8.5
"983",17414246,7.5
"984",17414270,8.5
"985",17414399,6.5
"986",17414441,7
"987",17414465,7
"988",17414642,0
"989",17414666,7.5
"990",17414690,7.5
"991",17414732,9
"992",17414861,7
"993",17414885,0
"994",17414909,7.5
"995",17414957,7.5
"996",17415059,7.5
"997",17415083,7
"998",17415107,6.5
"999",17415188,8
"1000",17415284,8.5
"1001",17415350,7.5
"1002",17415527,7.5
"1003",17415875,9.5
"1004",17415965,0
"1005",17416409,7.5
"1006",17416457,8.5
"1007",17416547,7
"1008",17416652,7.5
"1009",17416700,7.5
"1010",17416895,7
"1011",17416943,8.5
"1012",17417072,8.5
"1013",17417138,8.5
"1014",17417186,7.5
"1015",17417315,7.5
"1016",17417363,8.5
"1017",17417429,7.5
"1018",17417477,7
"1019",17417582,8
"1020",17417711,8.5
"1021",17417825,8
"1022",17417873,7
"1023",17417978,7.5
"1024",17418224,6.5
"1025",17418314,7.5
"1026",17418638,7.5
"1027",17418734,7.5
"1028",17418929,8
"1029",17419220,7
"1030",17419325,9
"1031",17419397,7.5
"1032",17419568,7.5
"1033",17419640,7
"1034",17419988,7.5
"1035",17420231,8
"1036",17420303,7
"1037",17420942,7
"1038",17421068,8
"1039",17421140,7
"1040",17421335,7
"1041",17421998,8
"1042",17422175,0
"1043",17422313,6.5
"1044",17422532,17
"1045",17422580,7.5
"1046",17422757,5.25
"1047",17423105,8
"1048",17423195,0
"1049",17423462,7.5
"1050",17423510,0
"1051",17423639,7.5
"1052",17423687,8
"1053",17423753,7.5
"1054",17423954,7.5
"1055",17424032,7.5
"1056",17424080,6
"1057",17424161,8
"1058",17424209,8.5
"1059",17424257,8
"1060",17424347,9
"1061",17424500,7
"1062",17424581,9
"1063",17424614,8
"1064",17424695,8
"1065",17424743,7.5
"1066",17424896,9
"1067",17424962,8
"1068",17425091,8.5
"1069",17425139,8.5
"1070",17430653,0
"1071",17431493,0
"1072",17440094,6.5
"1073",17442500,8
"1074",17445440,8.5
"1075",17445569,8
"1076",17445884,8.5
"1077",17445926,0
"1078",17445974,7.5
"1079",17446031,6.5
"1080",17446079,8
"1081",17446103,7
"1082",17446208,7.5
"1083",17446217,8.5
"1084",17450264,8.5
"1085",17453423,0
"1086",17453996,0
"1087",17454098,7.5
"1088",17454170,8
"1089",17456516,8
"1090",17461187,6.5
"1091",17461253,7.5
"1092",17469182,8
"1093",17469740,8
"1094",17469893,0
"1095",17470136,8
"1096",17471600,7.5
"1097",17475878,0
"1098",17475992,7.5
"1099",17476064,6
"1100",17476121,8
"1101",17476169,7.5
"1102",17476235,7.5
"1103",17476412,7.5
"1104",17476703,8
"1105",17477390,7.5
"1106",17478074,6
"1107",17478131,7.5
"1108",17478575,7
"1109",17480129,0
"1110",17483489,0
"1111",17486453,7.5
"1112",17486720,7
"1113",17486825,7
"1114",17486849,6.5
"1115",17486897,8
"1116",17487002,8
"1117",17487023,8
"1118",17487047,8
"1119",17487128,7
"1120",17487152,8.5
"1121",17487200,8
"1122",17487305,8
"1123",17487395,7.5
"1124",17487548,7
"1125",17487572,7
"1126",17487596,7.5
"1127",17487638,6.5
"1128",17489570,0
"1129",17493062,0
"1130",17498993,6.5
"1131",17499071,0
"1132",17499119,7
"1133",17499143,8.5
"1134",17502083,0
"1135",17506988,7.5
"1136",17507279,8
"1137",17509556,7
"1138",17510081,0
"1139",17511938,7
"1140",17512115,8.5
"1141",17515499,7.5
"1142",17519264,8.5
"1143",17521361,7
"1144",17522711,8.5
"1145",17524211,6.5
"1146",17524502,8
"1147",17524616,8
"1148",17524745,0
"1149",17524769,0
"1150",17524859,7
"1151",17524883,7
"1152",17524988,6.5
"1153",17529161,8.5
"1154",17531426,8
"1155",17531450,8.5
"1156",17531474,7
"1157",17534033,7.5
"1158",17535728,8
"1159",17536463,0
"1160",17536811,8
"1161",17541146,7
"1162",17546189,8
"1163",17549702,8.5
"1164",17549864,8.5
"1165",17566748,9
"1166",17579267,7.5
"1167",17588351,6.5
"1168",17590280,8.5
"1169",17602589,0
"1170",17604623,7.5
"1171",17604728,8.5
"1172",17610419,7.5
"1173",17610791,0
"1174",17611568,0
"1175",17618603,7
"1176",17618708,0
"1177",17618951,8.5
"1178",17619149,0
"1179",17619593,8.5
"1180",17620565,0
"1181",17621324,0
"1182",17629295,7.5
"1183",17634203,15
"1184",17635505,8.5
"1185",17637806,8
"1186",17645204,8.5
"1187",17648120,8.5
"1188",17655491,8.5
"1189",17662154,0
"1190",17662478,0
"1191",17669045,8.5
"1192",17670398,6
"1193",17670890,8.5
"1194",17676455,0
"1195",17678897,8
"1196",17682560,8
"1197",17684639,0
"1198",17695088,8.5
"1199",17701337,0
"1200",17726885,7.5
"1201",17727608,0
"1202",17728232,0
"1203",17781449,0
"1204",17784275,0
"1205",17787329,0
"1206",17790452,9
"1207",17794904,0
"1208",17799230,6.5
"1209",17799311,7.5
"1210",17799320,0
"1211",17802341,8
"1212",17804201,8.5
"1213",17821829,8
"1214",17826179,0
