"StudentID","thesis_grades"
17887274,8
17887355,8
17887379,7.5
17887427,7.5
17887508,0
17892038,0
17894099,6.5
17894723,8.5
17902967,0
17905058,0
17910749,0
17910968,6.5
17913641,8.5
17913665,7
17913737,7.5
17916539,7.5
17920814,7.5
17921558,7.5
17922305,0
17923130,8
17926022,8
17926757,7.5
17926823,7
17926928,7
17926976,7.5
17927000,7
17927081,8
17927267,6.5
17927510,8.5
17927729,6.5
17928011,7
17928032,7.5
17928080,8
17928605,0
17929802,7.5
17932451,0
17933738,0
17934557,7
17939309,7.5
17941769,0
17943245,0
17945000,8
17945114,7
17945195,7.5
17945243,6.5
17945348,7
17946719,8
17950217,8
17952242,7.5
17953487,0
17953901,0
17954078,6
17956841,6
17959634,8
17960054,8
17960201,7
17961239,7.5
17962235,7.5
17962460,0
17964179,8
17964866,0
17968073,9
17968097,8
17969222,6.5
17969294,0
17972240,0
17976098,8
17976437,7
17982689,7.5
17982866,7
17982932,6
17982956,7.5
17985944,8
17986535,7
17988455,8.5
17988875,0
17989013,7
17989895,7
17989919,6
17989943,8
17990072,8
17990096,8.5
17990138,7.5
17990162,7
17990186,8
17990210,7.5
17990429,9.5
17990582,7.5
17990606,8
17990630,8.5
17990711,0
17990720,7.5
17990801,7
17993231,8
17997872,0
17998139,8
17998163,8.5
18001217,8
18051149,7.5
18058112,8.5
18063116,0
18066614,7.5
18068426,8
18068531,8.5
18068846,8
18079982,9
18085004,9
18090752,7.5
18090800,9.5
18092192,8
18092459,7
18092483,0
18094331,8
18094937,7.5
18095528,8
18096413,7
18097181,7
18098669,8
18098735,7
18099797,8
18102422,0
18103571,7
18104306,7.5
18104993,8
18106340,6.5
18107756,0
18110477,8
18110978,7
18111572,0
18111662,8
18112478,8
18112568,0
18113327,8
18113417,9
18113498,7.5
18113522,8.5
18114359,8
18114383,7
18114512,7.5
18114998,6.5
18115151,8
18116105,7
18117347,8
18117524,7.5
18117605,7.5
18117938,0
18118358,7.5
18119336,8
18122258,7
18123272,7.5
18123629,8
18126284,7.5
18126941,0
18127919,7
18128339,8
18128429,8
18128477,7.5
18128654,7
18129548,0
18131741,14.5
18132068,7
18132140,7.5
18132245,7
18132584,8
18132626,0
18132755,7.5
18133418,8
18133442,0
18133709,15.5
18133757,8.5
18134396,6.5
18134510,8.5
18135104,0
18135962,7
18136964,9
18138683,0
18139298,7.5
18139499,7.5
18139718,7
18140228,0
18140696,7
18141905,8.5
18142172,6
18142973,0
18143879,8
18143927,6.5
18145250,8
18145799,0
18146285,7
18147098,0
18147251,8.5
18147389,7.5
18147680,8.5
18147857,0
18148052,7
18148295,8.5
18148691,8.5
18150536,8.5
18150731,9
18150755,7.5
18150998,7
18151046,7
18151094,8
18151709,8
18152396,8
18153233,7
18153986,7.5
18154163,7
18154253,8
18154454,7.5
18154697,8
18155159,7.5
18155798,0
18156125,7
18157718,7
18157856,8
18157880,7.5
18157985,7.5
18159041,8
18159485,8
18160043,8
18160487,8
18160844,8
18160949,6.5
18161507,7.5
18163160,7
18163646,7
18163775,8
18164600,7.5
18164624,7.5
18166205,6.5
18166787,9.5
18167120,8.5
18168353,8
18168482,0
18168701,7
18168797,0
18169526,8
18169898,6.5
18170099,0
18170213,8
18170633,0
18171422,6
18172514,7
18172862,7.5
18173039,9
18174758,0
18175025,8
18175268,9
18175955,8
18176375,0
18176780,7.5
18178013,0
18178361,8
18179096,6.5
18179138,8
18179210,8
18179744,8
18179825,7.5
18180449,7.5
18180692,6.5
18181226,7.5
18181775,7
18181799,9
18182600,7.5
18183017,7.5
18183098,7.5
18183170,7
18183809,8
18184076,7
18184763,6.5
18185030,0
18187436,8.5
18189956,8
18190424,6
18191282,8.5
18193469,8
18193493,8
